post_id,comment_id,source,labels,text_orig,text,keywords
post046,,0,set(),Network adapter disappears after sleep mode,network adapter disappear adapter disappear sleep disappear sleep mode,"{'network', 'disappear', 'mode', 'sleep', 'adapter'}"
post046,,1,set(),"After waking from sleep, my Wi-Fi adapter is just gone from Device Manager. Only a restart brings it back.",sleep wifi adapter adapter device manager,"{'wifi', 'manager', 'sleep', 'adapter', 'device'}"
post047,,0,{'person'},Hotel Wi-Fi connects but no browsing possible,wifi connect browse hotel wifi connect connect browse possible,"{'wifi', 'possible', 'connect', 'browse', 'hotel'}"
post047,,1,{'device'},"My laptop connects to the hotel Wi-Fi network, but I can't load any websites or use apps that require internet. Other guests say their devices work fine.",laptop connect hotel connect hotel wifi apps require internet,"{'apps', 'wifi', 'internet', 'connect', 'hotel', 'laptop', 'require'}"
post048,,0,{'protocol'},VPN connection established but internal resources unreachable,vpn connection establish internal resources unreachable,"{'connection', 'internal', 'resources', 'unreachable', 'vpn', 'establish'}"
post048,,1,{'protocol'},"VPN status shows connected, but I can’t access our dev servers or internal tools. My internet works fine otherwise.",vpn status connect connect access dev internal tool internet,"{'tool', 'access', 'internal', 'internet', 'dev', 'connect', 'status', 'vpn'}"
post049,,0,set(),Wi-Fi signal drops when moving between rooms,signal drop room,"{'signal', 'drop', 'room'}"
post049,,1,set(),"When I move from my living room to the bedroom, the Wi-Fi signal drops dramatically or disconnects completely.",signal drop dramatically bedroom wifi signal,"{'signal', 'bedroom', 'wifi', 'drop', 'dramatically'}"
post050,,0,{'tool'},Certain websites won’t load even though ping is good,certain websites wont websites wont load load ping good,"{'wont', 'good', 'websites', 'certain', 'load', 'ping'}"
post050,,1,"{'domain', 'tool'}","I can ping websites like google.com fine, but some specific sites or services time out or never load.",ping websites like service time load,"{'websites', 'like', 'service', 'load', 'ping', 'time'}"
post051,,0,set(),Wi-Fi shows connected but no internet on my gaming PC,connect internet game,"{'connect', 'internet', 'game'}"
post051,,1,set(),My PC is connected to Wi-Fi but can’t access the internet. Other devices on the same network are fine.,access internet devices connect wifi access devices network fine wifi access internet,"{'fine', 'access', 'wifi', 'network', 'internet', 'devices', 'connect'}"
post052,,0,{'protocol'},VPN disconnects during video meetings,disconnect video meetings,"{'video', 'disconnect', 'meetings'}"
post052,,1,"{'protocol', 'time'}","While on Zoom calls, my VPN connection drops after about 10 minutes, causing interruptions.",vpn connection drop zoom vpn connection,"{'zoom', 'drop', 'connection', 'vpn'}"
post053,,0,{'device'},Laptop internet slow but phones are fine,laptop internet slow internet slow phone,"{'slow', 'laptop', 'internet', 'phone'}"
post053,,1,{'device'},My laptop's internet speed is very slow compared to my phone on the same Wi-Fi network.,laptops internet speed compare phone wifi,"{'laptops', 'wifi', 'internet', 'speed', 'compare', 'phone'}"
post054,,0,"{'device', 'tool'}","Ping to router works, but no internet access",router work internet,"{'work', 'internet', 'router'}"
post054,,1,"{'device', 'tool'}",I can ping my router’s IP address but can’t load any websites or services.,routers ip address load websites service,"{'websites', 'service', 'routers', 'address', 'load', 'ip'}"
post055,,0,{'time'},Slow internet only during evening hours,slow internet hours,"{'slow', 'hours', 'internet'}"
post055,,1,"{'time', 'date'}",Internet speed tanks every evening around 7 PM but is fine during the day.,internet speed tank speed tank pm,"{'pm', 'tank', 'internet', 'speed'}"
post056,,0,{'gpe'},Wi-Fi signal is full bars but files won’t download,signal bar file file wont download,"{'signal', 'wont', 'bar', 'download', 'file'}"
post056,,1,{'device'},"My laptop shows a strong Wi-Fi signal, but large files hang or fail to download.",strong wifi signal hang fail download large file hang laptop strong wifi,"{'signal', 'strong', 'wifi', 'hang', 'fail', 'large', 'laptop', 'download', 'file'}"
post057,,0,{'person'},Hotel Wi-Fi requires login but login page won’t load,hotel wifi require login login page,"{'wifi', 'login', 'hotel', 'page', 'require'}"
post057,,1,set(),"I connect to the hotel Wi-Fi, but the captive portal login page never appears, so I can’t get online.",captive portal login wifi captive portal connect hotel wifi,"{'captive', 'wifi', 'login', 'portal', 'connect', 'hotel'}"
post058,,0,{'protocol'},VPN connects but slow internet speeds,connect slow internet vpn connect slow,"{'vpn', 'slow', 'connect', 'internet'}"
post058,,1,{'protocol'},"My VPN connects successfully, but my internet speed drops to almost unusable levels.",successfully internet speed vpn connect successfully speed drop unusable,"{'unusable', 'successfully', 'internet', 'speed', 'drop', 'connect', 'vpn'}"
post059,,0,{'tool'},High ping spikes despite stable Wi-Fi,ping spike despite high ping spike despite stable wifi,"{'high', 'despite', 'wifi', 'stable', 'ping', 'spike'}"
post059,,1,"{'time', 'tool'}","My Wi-Fi signal is stable and strong, but my ping in online games randomly spikes every few minutes.",wifi signal stable stable strong ping strong ping online,"{'signal', 'strong', 'wifi', 'stable', 'online', 'ping'}"
post060,,0,"{'protocol', 'device'}",VPN disconnects when laptop sleeps,disconnect laptop sleep,"{'sleep', 'laptop', 'disconnect'}"
post060,,1,"{'protocol', 'device'}","Whenever my laptop goes to sleep, the VPN disconnects and won’t reconnect automatically when I wake it.",sleep vpn disconnect reconnect automatically wake,"{'automatically', 'disconnect', 'reconnect', 'sleep', 'vpn', 'wake'}"
post061,,0,set(),Wi-Fi connected but can’t stream videos,connect stream videos,"{'videos', 'stream', 'connect'}"
post061,,1,"{'product', 'gpe'}","My device shows connected to Wi-Fi, but YouTube and Netflix videos won’t load or buffer endlessly.",youtube netflix videos connect wifi youtube,"{'wifi', 'netflix', 'videos', 'connect', 'youtube'}"
post062,,0,{'protocol'},Can’t access company intranet over VPN,access company intranet company intranet vpn,"{'intranet', 'access', 'vpn', 'company'}"
post062,,1,{'protocol'},"VPN connects fine, but I can’t reach our company intranet or internal websites.",vpn connect fine company intranet internal,"{'fine', 'internal', 'company', 'connect', 'vpn', 'intranet'}"
post063,,0,{'device'},Wi-Fi frequently disconnects on Windows laptop,frequently disconnect windows,"{'windows', 'disconnect', 'frequently'}"
post063,,1,{'device'},My Windows laptop keeps disconnecting from Wi-Fi randomly even though signal is strong.,disconnect wifi randomly windows laptop disconnect,"{'windows', 'randomly', 'wifi', 'disconnect', 'laptop'}"
post064,,0,{'person'},Hotel Wi-Fi limits device connections,wifi limit device limit device connections hotel wifi limit,"{'wifi', 'connections', 'limit', 'hotel', 'device'}"
post064,,1,"{'device', 'cardinal', 'person'}",Hotel Wi-Fi only allows one device connection per room; I want to connect my phone and laptop simultaneously.,hotel wifi allow phone laptop simultaneously,"{'wifi', 'phone', 'simultaneously', 'allow', 'hotel', 'laptop'}"
post065,,0,{'protocol'},VPN slows down file transfers drastically,slow file transfer vpn slow file file transfer drastically,"{'slow', 'drastically', 'transfer', 'vpn', 'file'}"
post065,,1,{'protocol'},File transfers over VPN take much longer than over my normal internet connection without VPN.,transfer vpn longer,"{'longer', 'transfer', 'vpn'}"
post066,,0,set(),Wi-Fi connects but can’t get IP address,connect ip address,"{'ip', 'connect', 'address'}"
post066,,1,set(),My device connects to Wi-Fi but shows ‘No IP address’ and can’t access the internet.,device connect wifi wifi ip address address access internet,"{'access', 'wifi', 'internet', 'connect', 'address', 'ip', 'device'}"
post067,,0,{'person'},Hotel Wi-Fi asks for payment after free trial,wifi ask payment hotel wifi ask ask payment free payment free trial,"{'payment', 'wifi', 'trial', 'ask', 'hotel', 'free'}"
post067,,1,set(),"I connected to hotel Wi-Fi that initially was free, but now it suddenly asks me to pay to continue using it.",hotel wifi initially,"{'initially', 'wifi', 'hotel'}"
post068,,0,{'protocol'},VPN connected but games show location mismatch,connect game location game location mismatch,"{'mismatch', 'connect', 'game', 'location'}"
post068,,1,{'protocol'},"I use a VPN, but some games detect my real location and block me from playing.",vpn game detect location block play,"{'location', 'game', 'play', 'vpn', 'block', 'detect'}"
post069,,0,set(),Wi-Fi connected but very slow on some devices,connect slow devices,"{'slow', 'devices', 'connect'}"
post069,,1,{'device'},"Some of my devices have fast Wi-Fi, but others are slow or keep buffering even near the router.",wifi slow buffer devices fast wifi buffer near router,"{'fast', 'slow', 'router', 'wifi', 'near', 'devices', 'buffer'}"
post070,,0,{'protocol'},VPN drops connection during video calls,drop connection video vpn drop connection,"{'video', 'drop', 'connection', 'vpn'}"
post070,,1,{'protocol'},"While on VPN, my video calls frequently drop or freeze randomly.",video frequently drop frequently drop freeze,"{'video', 'drop', 'freeze', 'frequently'}"
post071,,0,set(),Buffering issues despite strong Wi-Fi signal,despite strong wifi strong wifi signal buffer issue despite,"{'signal', 'despite', 'strong', 'wifi', 'issue', 'buffer'}"
post071,,1,set(),"My Wi-Fi shows full bars, but streaming videos keep buffering or drop quality suddenly.",bar stream videos stream videos buffer wifi bar stream,"{'bar', 'wifi', 'videos', 'stream', 'buffer'}"
post072,,0,{'protocol'},VPN connects but company resources inaccessible,connect company resources company resources inaccessible vpn connect company,"{'inaccessible', 'company', 'resources', 'connect', 'vpn'}"
post072,,1,{'protocol'},My VPN shows connected but I can’t access internal files or apps from work.,connect access internal vpn connect access,"{'vpn', 'internal', 'connect', 'access'}"
post073,,0,"{'protocol', 'tool'}",Games lag despite low ping on VPN,despite low ping low ping vpn game lag despite,"{'despite', 'game', 'lag', 'low', 'ping', 'vpn'}"
post073,,1,"{'protocol', 'tool'}","I use VPN and get low ping, but gameplay is still laggy and input delays happen.",gameplay laggy input low ping gameplay ping gameplay laggy,"{'low', 'laggy', 'input', 'ping', 'gameplay'}"
post074,,0,"{'time', 'person'}",Hotel Wi-Fi disconnects after a few minutes,wifi disconnect minutes hotel wifi disconnect,"{'wifi', 'hotel', 'minutes', 'disconnect'}"
post074,,1,set(),"Every time I connect to hotel Wi-Fi, it disconnects after a short time, forcing me to reconnect.",disconnect short time force reconnect,"{'disconnect', 'reconnect', 'force', 'time', 'short'}"
post075,,0,{'protocol'},VPN slows down internet despite fast local Wi-Fi,slow internet despite vpn slow internet fast local wifi,"{'fast', 'slow', 'despite', 'wifi', 'internet', 'local', 'vpn'}"
post075,,1,{'protocol'},"My local Wi-Fi speed is good, but when I connect to VPN, internet speed drops significantly.",connect vpn internet local wifi speed internet speed drop,"{'wifi', 'internet', 'local', 'speed', 'drop', 'connect', 'vpn'}"
post076,,0,set(),Wi-Fi disconnects when phone goes to sleep,disconnect phone sleep,"{'sleep', 'phone', 'disconnect'}"
post076,,1,set(),"My phone loses Wi-Fi connection after it sleeps, which interrupts my downloads and streaming.",connection sleep interrupt interrupt download stream phone lose wifi,"{'interrupt', 'connection', 'wifi', 'stream', 'lose', 'sleep', 'phone', 'download'}"
post077,,0,{'protocol'},VPN connected but geo-blocked content still unavailable,connect geoblocked content geoblocked content unavailable,"{'content', 'geoblocked', 'connect', 'unavailable'}"
post077,,1,{'protocol'},"Even with VPN active, I can’t access some geo-restricted games or videos.",access georestricted game vpn active access,"{'georestricted', 'access', 'game', 'active', 'vpn'}"
post078,,0,set(),Wi-Fi signal strong but pages load slowly,signal strong page page load slowly,"{'signal', 'strong', 'slowly', 'load', 'page'}"
post078,,1,set(),"My Wi-Fi signal strength is great, but websites and apps take forever to load.",wifi signal strength websites apps forever,"{'signal', 'forever', 'apps', 'wifi', 'websites', 'strength'}"
post079,,0,{'person'},Hotel Wi-Fi requires login every time I reconnect,hotel wifi require login time reconnect,"{'wifi', 'login', 'require', 'reconnect', 'hotel', 'time'}"
post079,,1,set(),"Every time I leave and come back to the hotel Wi-Fi, it asks me to log in again, which is annoying.",come hotel wifi hotel wifi ask ask log annoy,"{'come', 'wifi', 'annoy', 'ask', 'hotel', 'log'}"
post080,,0,"{'protocol', 'time'}",VPN connection is slow and unstable during work hours,connection slow unstable unstable work hours,"{'slow', 'connection', 'hours', 'unstable', 'work'}"
post080,,1,"{'protocol', 'time'}",My VPN is slow and keeps disconnecting during peak hours at work.,slow disconnect peak vpn slow disconnect disconnect peak hours,"{'slow', 'hours', 'disconnect', 'vpn', 'peak'}"
post081,,0,{'protocol'},VPN connected but streaming videos buffer frequently,connect stream videos videos buffer frequently,"{'videos', 'frequently', 'stream', 'connect', 'buffer'}"
post081,,1,{'protocol'},"Even though my VPN shows connected, streaming services keep buffering or lower quality automatically.",connect stream service buffer lower quality,"{'lower', 'service', 'stream', 'connect', 'quality', 'buffer'}"
post082,,0,"{'protocol', 'malware'}",Company VPN connects but no access to internal email,company vpn connect access internal email,"{'internal', 'access', 'company', 'connect', 'email', 'vpn'}"
post082,,1,{'protocol'},VPN says connected but I can’t open internal emails or shared drives at all.,internal email share vpn say connect,"{'internal', 'say', 'connect', 'share', 'email', 'vpn'}"
post083,,0,set(),Wi-Fi signal strong but slow internet on phone,strong slow internet signal strong slow,"{'strong', 'slow', 'signal', 'internet'}"
post083,,1,set(),My phone shows strong Wi-Fi bars but loading apps and webpages is slow and laggy.,webpages slow laggy strong wifi bar,"{'slow', 'webpages', 'strong', 'wifi', 'bar', 'laggy'}"
post084,,0,{'protocol'},VPN disconnects frequently during coding sessions,disconnect frequently cod,"{'cod', 'disconnect', 'frequently'}"
post084,,1,"{'protocol', 'date'}","My VPN drops out multiple times during the day, interrupting my work.",vpn drop multiple day interrupt work,"{'day', 'multiple', 'drop', 'work', 'vpn', 'interrupt'}"
post085,,0,"{'protocol', 'tool', 'network_concept'}",VPN causes high ping spikes despite low average latency,cause high ping ping spike despite,"{'high', 'despite', 'ping', 'spike', 'cause'}"
post085,,1,{'tool'},"While my ping averages are low, I experience sudden spikes that lag my games.",sudden spike lag ping average low,"{'sudden', 'average', 'lag', 'low', 'ping', 'spike'}"
post086,,0,{'device'},Wi-Fi disconnects when laptop goes to sleep,disconnect laptop sleep,"{'sleep', 'laptop', 'disconnect'}"
post086,,1,{'device'},"My laptop loses Wi-Fi connection whenever it sleeps, causing dropouts in downloads.",wifi connection sleep lose wifi connection cause dropouts download,"{'connection', 'download', 'dropouts', 'wifi', 'lose', 'sleep', 'cause'}"
post087,,0,{'person'},Hotel Wi-Fi keeps logging me out repeatedly,wifi log repeatedly hotel wifi log,"{'wifi', 'hotel', 'log', 'repeatedly'}"
post087,,1,set(),I keep getting kicked off the hotel Wi-Fi and have to log in again multiple times a day.,wifi log multiple kick hotel wifi,"{'wifi', 'multiple', 'kick', 'hotel', 'log'}"
post088,,0,"{'protocol', 'time'}",VPN slows down during afternoon work hours,slow afternoon work vpn slow afternoon afternoon work hours,"{'slow', 'afternoon', 'hours', 'work', 'vpn'}"
post088,,1,"{'protocol', 'time'}","VPN speeds drop drastically during afternoon peak hours, affecting my productivity.",speed drop drastically hours affect productivity,"{'productivity', 'hours', 'affect', 'speed', 'drop', 'drastically'}"
post089,,0,set(),Websites slow despite full Wi-Fi bars,websites slow despite slow despite wifi despite wifi bar,"{'slow', 'despite', 'bar', 'wifi', 'websites'}"
post089,,1,set(),Wi-Fi shows full signal but webpages and apps load painfully slow.,signal webpages apps,"{'signal', 'webpages', 'apps'}"
post090,,0,{'protocol'},VPN connected but geo-restricted content still blocked,connect georestricted content vpn connect georestricted,"{'content', 'georestricted', 'connect', 'vpn'}"
post090,,1,{'protocol'},"I use VPN to access foreign streaming, but content stays blocked or shows error.",access foreign stream vpn access foreign,"{'vpn', 'stream', 'access', 'foreign'}"
post098,,0,set(),Network driver update causes frequent disconnections,cause frequent disconnections network driver update,"{'network', 'frequent', 'disconnections', 'update', 'driver', 'cause'}"
post098,,1,{'time'},"Since updating my Ethernet driver, my connection drops every few minutes.",ethernet driver connection update ethernet driver,"{'update', 'connection', 'driver', 'ethernet'}"
