post_id,user,text,source,comment_id,text_orig,keywords,labels
post018,StudentSteve,campus wifi phone mobile data work load campus wifi,1,,"Certain sites won’t load on campus Wi-Fi, but on my phone’s mobile data they work.",set(),set()
post019,HomeUserGary,stream use repeater,0,,Slow streaming when using repeater,set(),set()
post019,HomeUserGary,connect repeater directly video stream buffer,1,,"Video streaming buffers a lot when connected via repeater, but directly to router it’s fine.",{'router'},{'device'}
post020,RemoteWorkerLiz,file share coworkers connect file share,0,,Wi-Fi connected but no file sharing with coworkers,set(),set()
post020,RemoteWorkerLiz,access share folders share folders network connect wifi access,1,,My laptop connects to Wi-Fi but I can’t see or access shared folders on the network.,{'laptop'},{'device'}
post021,TravelerJoe,access work ethernet,0,,"Internet access only works via Ethernet, not Wi-Fi",set(),set()
post021,TravelerJoe,cable wifi connect online plug cable connect internet,1,,"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.",set(),set()
post022,GamerGalGina,high latency packet latency packet loss packet loss online,0,,High latency and packet loss during online gaming,{'latency'},{'network_concept'}
post022,GamerGalGina,lag spike disconnect random lag spike,1,,I get random lag spikes and sometimes get disconnected.,set(),set()
post023,OfficeWorkerWalt,corporate email sync email sync mobile,0,,Corporate email not syncing on mobile,{'email'},{'malware'}
post023,OfficeWorkerWalt,sync corporate email im vpn wont sync corporate,1,,My phone won’t sync corporate emails unless I’m on VPN.,{'vpn'},{'protocol'}
post024,HomeUserHanna,wifi drop microwave,0,,Wi-Fi drops whenever microwave is on,set(),set()
post024,HomeUserHanna,speed drop disconnect microwave wifi speed,1,,"Whenever I use the microwave, Wi-Fi speeds drop or disconnect.",set(),set()
post025,DeveloperDan,connect slow internet vpn connect slow,0,,VPN connected but slow internet,{'vpn'},{'protocol'}
post025,DeveloperDan,connect vpn internet internet speed drop,1,,"When connected to VPN, my internet speed drops significantly.",{'vpn'},{'protocol'}
post026,RemoteWorkerRachel,print network printer,0,,Can't print to network printer over Wi-Fi,{'printer'},{'device'}
post026,RemoteWorkerRachel,laptop network printer connect ethernet,1,,My laptop can’t find the network printer unless I’m connected via Ethernet.,"{'printer', 'laptop'}",{'device'}
post027,StudentSue,exams portal dorm portal dorm wifi online exams portal access online exams,0,,Can't access online exams portal from dorm Wi-Fi,set(),set()
post027,StudentSue,portal doesnt load doesnt load sit,1,,"The portal doesn't load, but other sites are fine.",set(),set()
post028,HomeUserHarry,slow wifi add new smart devices,0,,Slow Wi-Fi after adding new smart devices,{'slow wi-fi'},{'person'}
post028,HomeUserHarry,bulbs cameras wifi smart bulbs cameras cameras wifi slow,1,,"Ever since I added new smart bulbs and cameras, my Wi-Fi has become slow.",set(),set()
post029,FreelancerFiona,connect vpn coffee coffee shop wifi,0,,Can’t connect to VPN from coffee shop Wi-Fi,{'vpn'},{'protocol'}
post029,FreelancerFiona,block vpn connections vpn connections workarounds public wifi block,1,,"Public Wi-Fi blocks VPN connections, any workarounds?",{'vpn'},{'protocol'}
post030,RemoteNina,signal strong video,0,,Wi-Fi signal strong but video calls lag,set(),set()
post030,RemoteNina,conferences freeze audio bar video conferences video conferences freeze,1,,Signal shows full bars but video conferences freeze and audio cuts out.,set(),set()
post037,WinUserJake,ethernet connect internet connect internet access,0,,Ethernet shows connected but no internet access,set(),set()
post037,WinUserJake,network try disablingenabling internet wifi work im connect ethernet,1,,"Windows says I'm connected via Ethernet, but there's no internet. Wi-Fi works fine on the same network. Tried disabling/enabling the adapter — no luck.",set(),set()
post038,GamerMark,ping spike 30 spike 30 second 30 second windows,0,,Ping spikes every 30 seconds on Windows 11,"{'11', 'every 30 seconds', 'ping'}","{'time', 'cardinal', 'tool'}"
post038,GamerMark,network service spike ping spike online,1,,Every 30–40 seconds I get a ping spike in online games. Task Manager shows 'Service Host: Network Service' spiking at the same time.,"{'every 30–40 seconds', 'ping'}","{'time', 'tool'}"
post039,WorkLaptopWanda,disconnect wifi access vpn disconnect wifi,0,,VPN disconnects Wi-Fi access to everything else,{'vpn'},{'protocol'}
post039,WorkLaptopWanda,connect company vpn vpn lose access company vpn lose,1,,"As soon as I connect to my company’s VPN, I lose access to all other internet — can’t browse, use Teams, etc.",{'vpn'},{'protocol'}
post040,StreamerKyle,upload speed fine browser obs disconnect,0,,Upload speeds fine in browser but OBS keeps disconnecting,set(),set()
post040,StreamerKyle,speedtest 20mbps upload,1,,Speedtest shows 20Mbps upload but OBS drops to 0 and disconnects every few minutes. On Windows 10 with wired Ethernet.,"{'20mbps', 'windows 10', '0', 'every few minutes'}","{'time', 'product', 'cardinal'}"
post041,OfficeJeff,pc work phone specific website windows,0,,"Cannot access specific website on Windows PC, works on phone",set(),set()
post041,OfficeJeff,windows desktop err_connection_timed_out,1,,"One site just won’t load on my Windows desktop (ERR_CONNECTION_TIMED_OUT), but works fine on my phone on the same network.","{'desktop', 'one'}","{'device', 'cardinal'}"
post042,PowerUserPete,multiple network profile network profile cause,0,,Multiple network profiles causing weird behavior,set(),set()
post042,PowerUserPete,network network adapter apps wont connect,1,,"My PC shows 'Network 2', 'Network 3', etc. in the adapter list and sometimes apps won't connect unless I reset the adapter.",set(),set()
post043,DevMachineDave,settings reset reboot,0,,Proxy settings reset after every reboot,set(),set()
post043,DevMachineDave,proxy windows settings restart super annoy disable proxy windows settings reenables restart,1,,"Even when I disable the proxy in Windows settings, it re-enables itself after a restart. Super annoying.",set(),set()
post044,StudentSarah,say internet secure connect say internet,0,,"Wi-Fi connects but says 'No Internet, secured'",set(),set()
post044,StudentSarah,windows connect school internet secure students connect school wifi,1,,"Windows connects to the school Wi-Fi but always says 'No Internet, secured'. Other students don’t have this issue.",set(),set()
post045,EditorElla,google drive sync sync work windows,0,,"Google Drive sync not working on Windows, works on web",set(),set()
post045,EditorElla,start windows update web version fine desktop say connection,1,,Drive for Desktop says 'No connection' but I can use the web version fine. This started after a Windows update.,{'desktop'},{'device'}
post046,ITInternIan,network adapter disappear adapter disappear sleep disappear sleep mode,0,,Network adapter disappears after sleep mode,set(),set()
post046,ITInternIan,sleep wifi adapter adapter device manager,1,,"After waking from sleep, my Wi-Fi adapter is just gone from Device Manager. Only a restart brings it back.",set(),set()
post047,DigitalNomadLeo,wifi connect browse hotel wifi connect connect browse possible,0,,Hotel Wi-Fi connects but no browsing possible,{'hotel wi-fi'},{'person'}
post047,DigitalNomadLeo,laptop connect hotel connect hotel wifi apps require internet,1,,"My laptop connects to the hotel Wi-Fi network, but I can't load any websites or use apps that require internet. Other guests say their devices work fine.",{'laptop'},{'device'}
post048,CoderClara,vpn connection establish internal resources unreachable,0,,VPN connection established but internal resources unreachable,{'vpn'},{'protocol'}
post048,CoderClara,vpn status connect connect access dev internal tool internet,1,,"VPN status shows connected, but I can’t access our dev servers or internal tools. My internet works fine otherwise.",{'vpn'},{'protocol'}
post049,HomeUserJake,signal drop room,0,,Wi-Fi signal drops when moving between rooms,set(),set()
post049,HomeUserJake,signal drop dramatically bedroom wifi signal,1,,"When I move from my living room to the bedroom, the Wi-Fi signal drops dramatically or disconnects completely.",set(),set()
post050,OfficeLina,certain websites wont websites wont load load ping good,0,,Certain websites won’t load even though ping is good,{'ping'},{'tool'}
post050,OfficeLina,ping websites like service time load,1,,"I can ping websites like google.com fine, but some specific sites or services time out or never load.","{'google.com', 'ping'}","{'domain', 'tool'}"
post051,GamerDerek,connect internet game,0,,Wi-Fi shows connected but no internet on my gaming PC,set(),set()
post051,GamerDerek,access internet devices connect wifi access devices network fine wifi access internet,1,,My PC is connected to Wi-Fi but can’t access the internet. Other devices on the same network are fine.,set(),set()
post052,RemoteWorkerNina,disconnect video meetings,0,,VPN disconnects during video meetings,{'vpn'},{'protocol'}
post052,RemoteWorkerNina,vpn connection drop zoom vpn connection,1,,"While on Zoom calls, my VPN connection drops after about 10 minutes, causing interruptions.","{'vpn', 'about 10 minutes'}","{'protocol', 'time'}"
post053,StudentMatt,laptop internet slow internet slow phone,0,,Laptop internet slow but phones are fine,{'laptop'},{'device'}
post053,StudentMatt,laptops internet speed compare phone wifi,1,,My laptop's internet speed is very slow compared to my phone on the same Wi-Fi network.,{'laptop'},{'device'}
post054,ITNewbieOlga,router work internet,0,,"Ping to router works, but no internet access","{'router', 'ping'}","{'device', 'tool'}"
post054,ITNewbieOlga,routers ip address load websites service,1,,I can ping my router’s IP address but can’t load any websites or services.,"{'router', 'ping'}","{'device', 'tool'}"
post055,HomeUserTina,slow internet hours,0,,Slow internet only during evening hours,{'evening hours'},{'time'}
post055,HomeUserTina,internet speed tank speed tank pm,1,,Internet speed tanks every evening around 7 PM but is fine during the day.,"{'every evening', '7 pm', 'the day'}","{'time', 'date'}"
post056,OfficeWorkerMark,signal bar file file wont download,0,,Wi-Fi signal is full bars but files won’t download,{'n’t'},{'gpe'}
post056,OfficeWorkerMark,strong wifi signal hang fail download large file hang laptop strong wifi,1,,"My laptop shows a strong Wi-Fi signal, but large files hang or fail to download.",{'laptop'},{'device'}
post057,TravelerSam,hotel wifi require login login page,0,,Hotel Wi-Fi requires login but login page won’t load,{'hotel wi-fi'},{'person'}
post057,TravelerSam,captive portal login wifi captive portal connect hotel wifi,1,,"I connect to the hotel Wi-Fi, but the captive portal login page never appears, so I can’t get online.",set(),set()
post058,FreelancerKate,connect slow internet vpn connect slow,0,,VPN connects but slow internet speeds,{'vpn'},{'protocol'}
post058,FreelancerKate,successfully internet speed vpn connect successfully speed drop unusable,1,,"My VPN connects successfully, but my internet speed drops to almost unusable levels.",{'vpn'},{'protocol'}
post059,GamerLeo,ping spike despite high ping spike despite stable wifi,0,,High ping spikes despite stable Wi-Fi,{'ping'},{'tool'}
post059,GamerLeo,wifi signal stable stable strong ping strong ping online,1,,"My Wi-Fi signal is stable and strong, but my ping in online games randomly spikes every few minutes.","{'every few minutes', 'ping'}","{'time', 'tool'}"
post060,RemoteDevAnya,disconnect laptop sleep,0,,VPN disconnects when laptop sleeps,"{'vpn', 'laptop'}","{'protocol', 'device'}"
post060,RemoteDevAnya,sleep vpn disconnect reconnect automatically wake,1,,"Whenever my laptop goes to sleep, the VPN disconnects and won’t reconnect automatically when I wake it.","{'vpn', 'laptop'}","{'protocol', 'device'}"
post061,StudentRob,connect stream videos,0,,Wi-Fi connected but can’t stream videos,set(),set()
post061,StudentRob,youtube netflix videos connect wifi youtube,1,,"My device shows connected to Wi-Fi, but YouTube and Netflix videos won’t load or buffer endlessly.","{'youtube', 'netflix'}","{'product', 'gpe'}"
post062,OfficeJane,access company intranet company intranet vpn,0,,Can’t access company intranet over VPN,{'vpn'},{'protocol'}
post062,OfficeJane,vpn connect fine company intranet internal,1,,"VPN connects fine, but I can’t reach our company intranet or internal websites.",{'vpn'},{'protocol'}
post063,HomeUserDave,frequently disconnect windows,0,,Wi-Fi frequently disconnects on Windows laptop,{'laptop'},{'device'}
post063,HomeUserDave,disconnect wifi randomly windows laptop disconnect,1,,My Windows laptop keeps disconnecting from Wi-Fi randomly even though signal is strong.,{'laptop'},{'device'}
post064,DigitalNomadEva,wifi limit device limit device connections hotel wifi limit,0,,Hotel Wi-Fi limits device connections,{'hotel wi-fi'},{'person'}
post064,DigitalNomadEva,hotel wifi allow phone laptop simultaneously,1,,Hotel Wi-Fi only allows one device connection per room; I want to connect my phone and laptop simultaneously.,"{'one', 'laptop', 'hotel wi-fi'}","{'device', 'cardinal', 'person'}"
post065,RemoteWorkerLiam,slow file transfer vpn slow file file transfer drastically,0,,VPN slows down file transfers drastically,{'vpn'},{'protocol'}
post065,RemoteWorkerLiam,transfer vpn longer,1,,File transfers over VPN take much longer than over my normal internet connection without VPN.,{'vpn'},{'protocol'}
post066,StudentMaya,connect ip address,0,,Wi-Fi connects but can’t get IP address,set(),set()
post066,StudentMaya,device connect wifi wifi ip address address access internet,1,,My device connects to Wi-Fi but shows ‘No IP address’ and can’t access the internet.,set(),set()
post067,TravelerNina,wifi ask payment hotel wifi ask ask payment free payment free trial,0,,Hotel Wi-Fi asks for payment after free trial,{'hotel wi-fi'},{'person'}
post067,TravelerNina,hotel wifi initially,1,,"I connected to hotel Wi-Fi that initially was free, but now it suddenly asks me to pay to continue using it.",set(),set()
post068,GamerJosh,connect game location game location mismatch,0,,VPN connected but games show location mismatch,{'vpn'},{'protocol'}
post068,GamerJosh,vpn game detect location block play,1,,"I use a VPN, but some games detect my real location and block me from playing.",{'vpn'},{'protocol'}
post069,HomeUserKate,connect slow devices,0,,Wi-Fi connected but very slow on some devices,set(),set()
post069,HomeUserKate,wifi slow buffer devices fast wifi buffer near router,1,,"Some of my devices have fast Wi-Fi, but others are slow or keep buffering even near the router.",{'router'},{'device'}
post070,RemoteDevMax,drop connection video vpn drop connection,0,,VPN drops connection during video calls,{'vpn'},{'protocol'}
post070,RemoteDevMax,video frequently drop frequently drop freeze,1,,"While on VPN, my video calls frequently drop or freeze randomly.",{'vpn'},{'protocol'}
post071,StreamerLina,despite strong wifi strong wifi signal buffer issue despite,0,,Buffering issues despite strong Wi-Fi signal,set(),set()
post071,StreamerLina,bar stream videos stream videos buffer wifi bar stream,1,,"My Wi-Fi shows full bars, but streaming videos keep buffering or drop quality suddenly.",set(),set()
post072,OfficeUserDan,connect company resources company resources inaccessible vpn connect company,0,,VPN connects but company resources inaccessible,{'vpn'},{'protocol'}
post072,OfficeUserDan,connect access internal vpn connect access,1,,My VPN shows connected but I can’t access internal files or apps from work.,{'vpn'},{'protocol'}
post073,GamerZed,despite low ping low ping vpn game lag despite,0,,Games lag despite low ping on VPN,"{'vpn', 'ping'}","{'protocol', 'tool'}"
post073,GamerZed,gameplay laggy input low ping gameplay ping gameplay laggy,1,,"I use VPN and get low ping, but gameplay is still laggy and input delays happen.","{'vpn', 'ping'}","{'protocol', 'tool'}"
post074,TravelerAnna,wifi disconnect minutes hotel wifi disconnect,0,,Hotel Wi-Fi disconnects after a few minutes,"{'a few minutes', 'hotel wi-fi'}","{'time', 'person'}"
post074,TravelerAnna,disconnect short time force reconnect,1,,"Every time I connect to hotel Wi-Fi, it disconnects after a short time, forcing me to reconnect.",set(),set()
post075,RemoteWorkerLeo,slow internet despite vpn slow internet fast local wifi,0,,VPN slows down internet despite fast local Wi-Fi,{'vpn'},{'protocol'}
post075,RemoteWorkerLeo,connect vpn internet local wifi speed internet speed drop,1,,"My local Wi-Fi speed is good, but when I connect to VPN, internet speed drops significantly.",{'vpn'},{'protocol'}
post076,StudentMia,disconnect phone sleep,0,,Wi-Fi disconnects when phone goes to sleep,set(),set()
post076,StudentMia,connection sleep interrupt interrupt download stream phone lose wifi,1,,"My phone loses Wi-Fi connection after it sleeps, which interrupts my downloads and streaming.",set(),set()
post077,GamerPaul,connect geoblocked content geoblocked content unavailable,0,,VPN connected but geo-blocked content still unavailable,{'vpn'},{'protocol'}
post077,GamerPaul,access georestricted game vpn active access,1,,"Even with VPN active, I can’t access some geo-restricted games or videos.",{'vpn'},{'protocol'}
post078,HomeUserSam,signal strong page page load slowly,0,,Wi-Fi signal strong but pages load slowly,set(),set()
post078,HomeUserSam,wifi signal strength websites apps forever,1,,"My Wi-Fi signal strength is great, but websites and apps take forever to load.",set(),set()
post079,TravelerZoe,hotel wifi require login time reconnect,0,,Hotel Wi-Fi requires login every time I reconnect,{'hotel wi-fi'},{'person'}
post079,TravelerZoe,come hotel wifi hotel wifi ask ask log annoy,1,,"Every time I leave and come back to the hotel Wi-Fi, it asks me to log in again, which is annoying.",set(),set()
post080,RemoteDevMax,connection slow unstable unstable work hours,0,,VPN connection is slow and unstable during work hours,"{'vpn', 'hours'}","{'protocol', 'time'}"
post080,RemoteDevMax,slow disconnect peak vpn slow disconnect disconnect peak hours,1,,My VPN is slow and keeps disconnecting during peak hours at work.,"{'vpn', 'hours'}","{'protocol', 'time'}"
post081,StreamFanMike,connect stream videos videos buffer frequently,0,,VPN connected but streaming videos buffer frequently,{'vpn'},{'protocol'}
post081,StreamFanMike,connect stream service buffer lower quality,1,,"Even though my VPN shows connected, streaming services keep buffering or lower quality automatically.",{'vpn'},{'protocol'}
post082,OfficeClerkLara,company vpn connect access internal email,0,,Company VPN connects but no access to internal email,"{'vpn', 'email'}","{'protocol', 'malware'}"
post082,OfficeClerkLara,internal email share vpn say connect,1,,VPN says connected but I can’t open internal emails or shared drives at all.,{'vpn'},{'protocol'}
post083,MobileUserRaj,strong slow internet signal strong slow,0,,Wi-Fi signal strong but slow internet on phone,set(),set()
post083,MobileUserRaj,webpages slow laggy strong wifi bar,1,,My phone shows strong Wi-Fi bars but loading apps and webpages is slow and laggy.,set(),set()
post084,RemoteCoderNina,disconnect frequently cod,0,,VPN disconnects frequently during coding sessions,{'vpn'},{'protocol'}
post084,RemoteCoderNina,vpn drop multiple day interrupt work,1,,"My VPN drops out multiple times during the day, interrupting my work.","{'vpn', 'the day'}","{'protocol', 'date'}"
post085,GamerRex,cause high ping ping spike despite,0,,VPN causes high ping spikes despite low average latency,"{'vpn', 'ping', 'latency'}","{'protocol', 'tool', 'network_concept'}"
post085,GamerRex,sudden spike lag ping average low,1,,"While my ping averages are low, I experience sudden spikes that lag my games.",{'ping'},{'tool'}
post086,StudentLily,disconnect laptop sleep,0,,Wi-Fi disconnects when laptop goes to sleep,{'laptop'},{'device'}
post086,StudentLily,wifi connection sleep lose wifi connection cause dropouts download,1,,"My laptop loses Wi-Fi connection whenever it sleeps, causing dropouts in downloads.",{'laptop'},{'device'}
post087,TravelerMax,wifi log repeatedly hotel wifi log,0,,Hotel Wi-Fi keeps logging me out repeatedly,{'hotel wi-fi'},{'person'}
post087,TravelerMax,wifi log multiple kick hotel wifi,1,,I keep getting kicked off the hotel Wi-Fi and have to log in again multiple times a day.,set(),set()
post088,RemoteWorkerKate,slow afternoon work vpn slow afternoon afternoon work hours,0,,VPN slows down during afternoon work hours,"{'vpn', 'hours', 'afternoon'}","{'protocol', 'time'}"
post088,RemoteWorkerKate,speed drop drastically hours affect productivity,1,,"VPN speeds drop drastically during afternoon peak hours, affecting my productivity.","{'vpn', 'hours', 'afternoon'}","{'protocol', 'time'}"
post089,HomeUserAlex,websites slow despite slow despite wifi despite wifi bar,0,,Websites slow despite full Wi-Fi bars,set(),set()
post089,HomeUserAlex,signal webpages apps,1,,Wi-Fi shows full signal but webpages and apps load painfully slow.,set(),set()
post090,StreamerJess,connect georestricted content vpn connect georestricted,0,,VPN connected but geo-restricted content still blocked,{'vpn'},{'protocol'}
post090,StreamerJess,access foreign stream vpn access foreign,1,,"I use VPN to access foreign streaming, but content stays blocked or shows error.",{'vpn'},{'protocol'}
post098,NetUserAlex,cause frequent disconnections network driver update,0,,Network driver update causes frequent disconnections,set(),set()
post098,NetUserAlex,ethernet driver connection update ethernet driver,1,,"Since updating my Ethernet driver, my connection drops every few minutes.",{'every few minutes'},{'time'}
post099,RemoteWorkerJill,wifi driver update cause slow upload,0,,Wi-Fi driver update causes slow upload speeds,set(),set()
post099,RemoteWorkerJill,wireless driver upload update wireless driver driver upload speed,1,,"After updating my wireless driver, my upload speeds dropped significantly.",set(),set()
post100,GamerMike,driver update ping update ping spike,0,,"After network driver update, ping spikes in games",{'ping'},{'tool'}
post100,GamerMike,adapter driver ping ping spike randomly,1,,"Ever since I updated my network adapter driver, my ping spikes randomly during online gaming.",{'ping'},{'tool'}
post101,StreamerNina,network driver update cause video buffer,0,,Network driver update causes video buffering issues,set(),set()
post101,StreamerNina,stream buffer instal video stream buffer latest wifi driver,1,,Video streams keep buffering after I installed the latest Wi-Fi driver.,set(),set()
post102,RemoteDevLeo,disable vpn connections driver update disable,0,,Network driver update disables VPN connections,{'vpn'},{'protocol'}
post102,RemoteDevLeo,network driver connect connect vpn anymore,1,,"After updating my network driver, I can't connect to VPN anymore.",{'vpn'},{'protocol'}
post103,OfficeUserTom,prevent auto reconnect driver update prevent,0,,Wi-Fi driver update prevents auto reconnect,set(),set()
post103,OfficeUserTom,auto reconnect save reconnect save wifi doesnt auto reconnect,1,,My laptop doesn't auto reconnect to saved Wi-Fi networks after updating the driver.,{'laptop'},{'device'}
post104,HomeUserEva,driver update disable update disable lan ethernet driver update,0,,Ethernet driver update disables LAN sharing,{'lan'},{'network_concept'}
post104,HomeUserEva,update ethernet driver share file lan ethernet driver pc,1,,"Since updating my Ethernet driver, my PC can't share files over LAN.",{'lan'},{'network_concept'}
post105,TechStudentMaya,network driver update cause limit connectivity,0,,Network driver update causes limited connectivity,set(),set()
post105,TechStudentMaya,update limit connectivity network driver update,1,,"After a network driver update, I get ‘limited connectivity’ on Wi-Fi.",set(),set()
post106,StreamerAlex,network driver cause packet loss stream driver cause packet,0,,New network driver causes packet loss during streaming,set(),set()
post106,StreamerAlex,driver experience packet adapter driver experience network adapter driver,1,,"Since updating my network adapter driver, I experience packet loss when streaming.",set(),set()
post107,ITProJenna,break hotspot functionality network driver update,0,,Network driver update breaks hotspot functionality,set(),set()
post107,ITProJenna,hotspot feature stop pc hotspot feature update wifi driver,1,,"After updating my Wi-Fi driver, my PC hotspot feature stopped working.",set(),set()
post001,ITSupportAnna,vpns cause issue try turn check issue specific sit,2,c001,VPNs often cause issues with specific sites. Try turning it off and check again.,set(),set()
post001,NetworkNils,cache cookies cause browser cache cookies,2,c002,Sometimes browser cache or cookies cause loading issues. Clear those and retry.,set(),set()
post002,RouterFred,repeater relocate router router far wall wall block signal,2,c003,Your router might be too far or there could be walls blocking the signal. Consider adding a repeater or relocating the router.,{'router'},{'device'}
post003,NetworkNils,try switch dns like dns problems,2,c004,Sounds like DNS problems. Try switching your DNS server to 8.8.8.8 or 1.1.1.1.,"{'dns', 'dns server', '1.1.1.1', '8.8.8.8'}","{'protocol', 'ip_address', 'ip', 'network_concept'}"
post004,NetworkNils,conflict dns issue,2,c005,This often happens because of IP conflicts or DNS issues. Try reconnecting to the network.,{'dns'},{'protocol'}
post004,RouterFred,filter router block address filter router,2,c006,Could also be a MAC address filter or router blocking the device.,"{'mac address', 'router'}","{'device', 'network_concept'}"
post005,RouterFred,obstacles distance router distance router degrade,2,c007,Physical obstacles or distance to router can degrade signal. Try moving back or using a repeater.,{'router'},{'device'}
post005,NetworkNils,interference nearby devices,2,c008,Also check for interference from nearby devices like microwaves or cordless phones.,set(),set()
post006,NetworkNils,router dhcp settings dhcp settings possible,2,c009,Check router DHCP settings or possible MAC filtering.,"{'dhcp', 'router'}","{'protocol', 'device'}"
post006,RouterFred,wifi isolation enable guest wifi isolation routers guest wifi,2,c010,"Sometimes routers have guest Wi-Fi isolation enabled, blocking internet.",set(),set()
post007,ITSupportAnna,servers cause drop change vpn server,2,c011,"Try changing the VPN server or protocol, sometimes overloaded servers cause drops.","{'vpn', 'server'}","{'protocol', 'device'}"
post007,NetworkNils,firewall antivirus interfere interfere vpn connections,2,c012,Check if your firewall or antivirus is interfering with VPN connections.,"{'vpn', 'firewall'}","{'protocol', 'device'}"
post008,TechGuru,background update malware update malware laptop,2,c013,Check for background updates or malware on your laptop.,{'laptop'},{'device'}
post008,NetworkNils,try update network reset network settings,2,c014,Try updating your network adapter drivers or resetting network settings.,set(),set()
post009,NetworkNils,outage dns server,2,c015,Could be an ISP outage or DNS server issue. Try switching DNS or restarting the router.,"{'dns', 'dns server', 'router'}","{'protocol', 'device', 'network_concept'}"
